titulo,nota_interna,tmdb_id
El 6º Día,,8452
Infra-Man,,40435
Monty Python: Se armó la gorda,,9267
Ocean's 13,,298
El Increíble Hulk: El retorno de la bestia,,26881
Los Vengadores,La de Marvel,24428
Dune,Serie de los 90 / 2000,tv:19566
TMNT,La original del 89 /90,1498
La leyenda del samurái,,64686
Star Trek: Más allá 3D,,188927
Desparrame a babor,,10104
38 semanas despés,,1562
Spiderman 2.1,,558
El castillo de Cagliostro,,15371
Wolf Children,,110420
Curso 1990,,23535
Wall - E,,10681
"Green Lantern, Caballeros esmeralda",,65291
"Dr. Slup: Monstruo en Villapingüino, Secreto del castillo Nanaba)",,146090+146084
K-9 Super Agente,,10345
Austin Powers La espia que me achuchó,,817
Oh! Que miércoles,,23001
Nausicaa del valle del viento,,81
Sherlock Hound,,tv:21296
Sherlock Hound (edicion remasterizada),,tv:21296
Animación Experimental (Osamu Tezuka),,manual
