estado,titulo,anio,filas,candidatos
comprobar,Piratas del Caribe,,13,22: Piratas del Caribe: La maldición de la Perla Negra (2003) | 63617: Piratas del mar Caribe (1942) | 58: Piratas del Caribe: El cofre del hombre muerto (2006) | 285: Piratas del Caribe: En el fin del mundo (2007) | 1865: Piratas del Caribe: En mareas misteriosas (2011)
comprobar,Chica Valle,,29,19053: La chica del valle (1983) | 482273: La chica del valle (2020)
comprobar,La Sirenita,,41,10144: La sirenita (1989) | 447277: La sirenita (2023) | 385448: La Sirenita (2018) | 215478: La sirenita (1976) | 116866: La sirenita (1998)
comprobar,Aladdin,,46,812: Aladdin (1992) | 420817: Aladdín (2019) | 343693: Aladdin (Aladino) (1992) | 357528: Aladdin (1992) | 1450246: Aladdin (1967)
ilegible,Título ilegible (Simbad?),,49,
comprobar,Evolution,,57 282,9397: Evolution (2001) | 1571101: Evolution (2026) | 323196: Evolution (2014) | 571891: Pokémon: Mewtwo contraataca-Evolución (2019) | 836563: Evolution (2021)
ilegible,Título ilegible (Comedia familiar),,66,
ilegible,Título ilegible (Oscura con rostros),,69,
comprobar,Frank Sinatra,,72,271280: Sinatra desde el Madison Square Garden (The Main Event) (1974) | 447719: Frank Sinatra Memorial (2000) | 264824: Frank Sinatra - Primetime (1968) | 1049222: Tony Bennett & Frank Sinatra (2019) | 730120: Frank Sinatra Spectacular (1965)
comprobar,Dune,,73 236,438631: Dune (2021) | 841: Dune (1984) | 697620: Dűne (2020) | 271683: La dune (2014) | 881460: Exoplaneta Dune en Peligro (2021)
comprobar,Scalps,,80,5733: Scalps (El cementerio indio) (1983) | 114174: ¡Scalps! Venganza india (1987) | 32068: El camino de la venganza (1968) | 1693791: Danny Dunn: Scalps Out! (2026)
ilegible,Título ilegible (DOG...),,87,
comprobar,Un Chihuahua en Beverly Hills,,96,14405: Un chihuahua en Beverly Hills (2008) | 54540: Un chihuahua en Beverly Hills 2 (2011) | 105965: Un chihuahua en Beverly Hills 3: ¡Que viva la fiesta! (2012)
comprobar,Masters of the Universe,,101,454639: He-Man y los Masters del Universo (2026) | 11649: Masters del universo (1987) | 1138551: Masters of the Musical Universe (2015) | 1705074: Behind the Legend of Masters of the Universe: The Motion Picture (1987) | 1138554: Masters of the Musical Universe: Battle for Etheria (2016)
comprobar,Jóvenes y brujas,,106,9100: Jóvenes y brujas (1996) | 590995: Jóvenes y brujas (2020)
comprobar,Mucho ruido y pocas nueces,,109,11971: Mucho ruido y pocas nueces (1993) | 91739: Mucho ruido y pocas nueces (2013)
comprobar,El Milagro,,126,685677: El milagro (2003) | 706584: El milagro (2019) | 1256995: El Milagro (2024) | 1709557: El milagro (2026) | 1501101: El Milagro (2021)
comprobar,Dumbo,,129,11360: Dumbo (1941) | 329996: Dumbo (2019) | 99833: Dumbom (1953) | 1016369: Dumbo 04 (2006) | 524138: Culinária Dumbo (2018)
sin elegir,La Fuga de Charlot,,131,sin resultados
comprobar,La Dama y el Vagabundo,,133,10340: La dama y el vagabundo (1955) | 512895: La dama y el vagabundo (2019) | 18269: La dama y el vagabundo 2: Las aventuras de Golfillo (2001)
comprobar,El Puño de la Estrella del Norte,,134,19877: El puño de la Estrella del Norte (1986) | 26300: El puño de la estrella del norte (1995) | 114372: El Puño de la Estrella del Norte: La leyenda de Raoh - Capitulo de la lucha feroz (2007) | 120985: New El puño de la estrella del norte: La ciudad maldita (2003) | 247541: New El puño de la estrella del norte: El puño prohibido (2003)
comprobar,Bienvenidos al Norte,,135,8265: Bienvenidos al Norte (2008) | 85038: Bienvenidos al Norte (2012) | 367541: Bienvenidos al Polo Norte (2015)
comprobar,Robin Hood,,138,20662: Robin Hood (2010) | 11886: Robin Hood (1973) | 375588: Robin Hood (2018) | 437442: Robin Hood (1912) | 30840: Robin Hood el magnífico (1991)
comprobar,Alicia en el país de las maravillas,,151,12155: Alicia en el País de las Maravillas (2010) | 12092: Alicia en el país de las maravillas (1951) | 396929: Alicia en el país de las maravillas (1976) | 25694: Alicia en el país de las Maravillas (1933) | 35109: Alicia en el País de las Maravillas (1966)
comprobar,El espíritu de...,,152,"632856: El espíritu de la Navidad (2022) | 894389: El espíritu de la ley (????) | 4495: El espíritu de la colmena (1973) | 472211: Raza, el espíritu de Franco (1977) | 636055: El espíritu de la pintura (2017)"
comprobar,Amanecer rojo,,167,60747: Amanecer rojo (2012) | 1880: Amanecer rojo (1984) | 47916: Rojo Amanecer (1990)
comprobar,Freeman,,183,873629: Freeman (1977) | 742296: Freeman (2020) | 414201: Freeman (2016) | 1168560: Mr. Freeman (2023) | 1484072: Freeman Vines (2025)
comprobar,Garfield: La película,,189,8920: Garfield: La película (2004) | 748783: Garfield: La película (2024)
comprobar,Aquí un amigo,,203,"36133: Aquí, un amigo (1981) | 1245728: Aquí un amigo (2025) | 47943: Harry, un amigo que os quiere (2000) | 209244: ¿Estás aquí? (2013) | 232572: Un paseo por el bosque (2015)"
comprobar,El Pueblo de los Malditos,,222,12122: El pueblo de los malditos (1995) | 11773: El pueblo de los malditos (1960)
comprobar,House of the Dead,,232,11059: House of the Dead (2003) | 29293: House of the Dead 2: El amanecer de los zombies (2006) | 77156: La casa de la muerte (1978) | 1380730: The House of the Dead (????) | 309492: From the House of the Dead (2007)
ilegible,Título ilegible (Comedia),,246,
comprobar,Este chico es un demonio,,247,11077: Este chico es un demonio (1990) | 28597: Este chico es un demonio 2 (1991) | 28601: Este chico es un demonio 3 (1995) | 49928: Este chico es un demonio y su hermana también (1999)
comprobar,Última llamada,,254,1817: Última llamada (2003) | 379318: Ultima llamada (1996) | 1702719: ULTIMA LLAMADA (2026) | 158011: La última llamada (2013) | 27732: Road House 2: La última llamada (2006)
comprobar,Muerte en el Nilo,,256,505026: Muerte en el Nilo (2022) | 4192: Muerte en el Nilo (1978)
comprobar,¡Aterriza como puedas!,,283,813: Aterriza como puedas (1980) | 2665: Aterriza como puedas 2 (1982)
comprobar,The Kid,,287,"10098: El chico (1921) | 4244: The Kid (El chico) (2000) | 492565: Sin piedad (The Kid) (2019) | 38575: Karate Kid (2010) | 1885: Karate Kid, el momento de la verdad (1984)"
comprobar,Terminagolf,,289,9614: Terminagolf (1996) | 1263256: Terminagolf 2 (2025)
comprobar,Superdetective en Hollywood,,297,90: Superdetective en Hollywood (1984) | 96: Superdetective en Hollywood II (1987) | 306: Superdetective en Hollywood III (1994) | 280180: Superdetective en Hollywood: Axel F. (2024)
comprobar,Los Mercenarios,,311,27578: Los mercenarios (2010) | 678751: Los mercenarios (1987) | 180150: Los mercenarios (1961) | 299054: Los mercenarios 4 (2023) | 76163: Los mercenarios 2 (2012)
comprobar,El Cerebro,,316,33436: El Cerebro (1969) | 40222: El cerebro (1988) | 241076: Santo contra el cerebro diabólico (1963) | 104183: El Mal del Cerebro (2012) | 1166632: El cerebro de Caín (2011)
comprobar,Los Mosqueteros,,317,52451: Los tres mosqueteros (2011) | 82793: Los Tres Mosqueteros (1942) | 10057: Los tres mosqueteros (1993) | 545723: Los Tres Mosqueteros (1946) | 845111: Los tres mosqueteros. Milady (2023)
comprobar,Wayne's World,,319,8872: Wayne's World: ¡Qué desparrame! (1992) | 610176: Wayne's World (2003) | 8873: Wayne's World 2: ¡Qué desparrame 2! (1993) | 1102356: Wayne's World: Extreme Close-Up (????) | 1081982: Wayne's World 2: Extreme Close-Up (????)
